BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evacuation_scenario.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"app-T-F,rooms-T-F,shooting-T,peace-350,visib-0,sound-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/25/2020 13:54:35:674 +0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],app-info?,shooting?,num-peacefuls,visibility-mod,sound-mod,num-violents,shoot-noise,attack-prob,attackers-efectivity,attackers-speed,initial-positions,leaders-percentage,app-percentage,defense-prob,not-alerted-speed,mean-speed,max-speed-deviation,max-iter,app-mode,first-blood,crowd-running,what-is-a-crowd?,[step],not-app-killed,app-killed,app-killed + not-app-killed,not-app-accident,app-accident,not-app-accident + app-accident,not-app-in-secure-room,app-in-secure-room,not-app-in-secure-room + app-in-secure-room,not-app-rescued,app-rescued,not-app-rescued + app-rescued,rooms
80,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,12,17,29,0,0,0,120,124,244,36,39,75,true
74,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,486,19,9,28,1,1,2,124,117,241,42,37,79,true
87,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,193,15,13,28,1,1,2,122,115,237,51,32,83,true
84,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,9,7,16,0,0,0,126,133,259,38,36,74,true
86,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,281,17,12,29,0,2,2,107,102,209,45,65,110,true
89,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,487,7,11,18,0,0,0,106,156,262,42,28,70,true
93,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,106,10,12,22,1,0,1,127,115,242,39,46,85,true
90,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,488,13,12,25,0,1,1,119,130,249,50,25,75,true
95,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,115,13,9,22,2,2,4,115,140,255,31,38,69,true
85,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,18,7,25,0,1,1,138,117,255,33,32,65,true
91,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,15,7,22,0,0,0,111,117,228,45,54,99,true
94,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,371,13,19,32,1,1,2,117,140,257,35,24,59,true
97,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,484,10,13,23,0,1,1,155,97,252,33,41,74,true
92,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,211,9,8,17,0,0,0,131,122,253,42,38,80,true
98,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,500,13,8,21,0,1,1,118,144,262,36,28,64,true
96,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,480,18,15,33,0,3,3,122,127,249,31,34,65,true
101,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,120,13,15,28,0,0,0,130,103,233,46,43,89,true
99,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,89,10,10,20,0,1,1,123,128,251,44,34,78,true
88,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,439,9,15,24,0,1,1,128,128,256,32,37,69,true
104,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,122,12,10,22,2,2,4,108,85,193,55,76,131,true
100,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,438,16,15,31,1,1,2,123,107,230,37,50,87,true
105,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,257,12,18,30,0,0,0,117,135,252,33,35,68,true
108,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,221,8,14,22,0,0,0,132,124,256,38,34,72,true
103,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,376,14,8,22,0,1,1,115,126,241,41,45,86,true
102,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,316,12,13,25,0,0,0,116,136,252,50,23,73,true
113,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,118,15,14,29,2,0,2,110,114,224,47,48,95,true
110,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,386,13,12,25,0,2,2,96,100,196,70,57,127,true
106,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,463,15,10,25,1,0,1,139,86,225,46,53,99,true
112,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,191,12,4,16,2,1,3,126,94,220,45,66,111,true
107,true,true,350,0,0,2,0.5,0.5,0.5,0.8,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,459,16,11,27,0,2,2,119,119,238,43,40,83,true
